Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
canales adultos online,0.0,1.0,0.0,10.0,2019-05-10,gsc_property,worldwide,desktop,
canales chile,0.0,1.0,0.0,20.0,2019-05-10,gsc_property,worldwide,desktop,
canales chile online,0.0,1.0,0.0,21.0,2019-05-10,gsc_property,worldwide,desktop,
canales claro tv,0.0,1.0,0.0,9.0,2019-05-10,gsc_property,worldwide,desktop,
canales de cable gratis por internet,0.0,1.0,0.0,131.0,2019-05-10,gsc_property,worldwide,desktop,
canales de cable online,0.0,1.0,0.0,64.0,2019-05-10,gsc_property,worldwide,desktop,
canales de chile en vivo,0.0,2.0,0.0,52.5,2019-05-10,gsc_property,worldwide,desktop,
canales de futbol,0.0,1.0,0.0,90.0,2019-05-10,gsc_property,worldwide,desktop,
canales de tv chile,0.0,1.0,0.0,32.0,2019-05-10,gsc_property,worldwide,desktop,
canales de tv en vivo,0.0,1.0,0.0,83.0,2019-05-10,gsc_property,worldwide,desktop,
canales de tv online,0.0,1.0,0.0,33.0,2019-05-10,gsc_property,worldwide,desktop,
canales en linea,0.0,2.0,0.0,29.5,2019-05-10,gsc_property,worldwide,desktop,
canales hd,0.0,2.0,0.0,48.5,2019-05-10,gsc_property,worldwide,desktop,
canales hd gratis,0.0,1.0,0.0,87.0,2019-05-10,gsc_property,worldwide,desktop,
canales hd online,0.0,2.0,0.0,18.0,2019-05-10,gsc_property,worldwide,desktop,
canales nacionales hd,0.0,1.0,0.0,24.0,2019-05-10,gsc_property,worldwide,desktop,
canales nacionales online,0.0,1.0,0.0,42.0,2019-05-10,gsc_property,worldwide,desktop,
canales on line,0.0,12.0,0.0,16.666666666666664,2019-05-10,gsc_property,worldwide,desktop,
canales onlain,0.0,1.0,0.0,7.0,2019-05-10,gsc_property,worldwide,desktop,
canales online hd,0.0,1.0,0.0,5.0,2019-05-10,gsc_property,worldwide,desktop,
canales onlines,0.0,1.0,0.0,7.0,2019-05-10,gsc_property,worldwide,desktop,
canales peruanos,0.0,1.0,0.0,97.0,2019-05-10,gsc_property,worldwide,desktop,
canales play,0.0,2.0,0.0,2.0,2019-05-10,gsc_property,worldwide,desktop,
canales premium,0.0,1.0,0.0,97.0,2019-05-10,gsc_property,worldwide,desktop,
cable tuves,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,tablet,
canales play,1.0,4.0,0.25,1.0,2019-05-10,gsc_property,worldwide,tablet,
programacion cable,1.0,1.0,1.0,7.0,2019-05-10,gsc_property,worldwide,tablet,
tuves,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,tablet,
+tv,0.0,1.0,0.0,9.0,2019-05-10,gsc_property,worldwide,tablet,
cable de tele,0.0,1.0,0.0,6.0,2019-05-10,gsc_property,worldwide,tablet,
canales online,0.0,3.0,0.0,7.0,2019-05-10,gsc_property,worldwide,tablet,
cartelera tv cable,0.0,1.0,0.0,10.0,2019-05-10,gsc_property,worldwide,tablet,
guia de canales movistar chile 2018,0.0,1.0,0.0,5.0,2019-05-10,gsc_property,worldwide,tablet,
hd,0.0,14.0,0.0,6.5,2019-05-10,gsc_property,worldwide,tablet,
hd santiago,0.0,1.0,0.0,4.0,2019-05-10,gsc_property,worldwide,tablet,
mastv online,0.0,1.0,0.0,9.0,2019-05-10,gsc_property,worldwide,tablet,
mi pagina tv,0.0,1.0,0.0,6.0,2019-05-10,gsc_property,worldwide,tablet,
programacion,0.0,1.0,0.0,10.0,2019-05-10,gsc_property,worldwide,tablet,
programacion canales cable,0.0,1.0,0.0,8.0,2019-05-10,gsc_property,worldwide,tablet,
programacion vtr online,0.0,1.0,0.0,8.0,2019-05-10,gsc_property,worldwide,tablet,
telefono tv cable,0.0,1.0,0.0,7.0,2019-05-10,gsc_property,worldwide,tablet,
tu tv hd,0.0,1.0,0.0,5.0,2019-05-10,gsc_property,worldwide,tablet,
tuves pagar,0.0,2.0,0.0,2.0,2019-05-10,gsc_property,worldwide,tablet,
tv cable,0.0,1.0,0.0,4.0,2019-05-10,gsc_property,worldwide,tablet,
tv cable en chile,0.0,1.0,0.0,3.0,2019-05-10,gsc_property,worldwide,tablet,
tv digital online,0.0,1.0,0.0,9.0,2019-05-10,gsc_property,worldwide,tablet,
tv hd,0.0,4.0,0.0,7.75,2019-05-10,gsc_property,worldwide,tablet,
tv mas online,0.0,2.0,0.0,9.5,2019-05-10,gsc_property,worldwide,tablet,
tv satelital,0.0,2.0,0.0,1.5,2019-05-10,gsc_property,worldwide,tablet,
tv satelital gratis,0.0,1.0,0.0,7.0,2019-05-10,gsc_property,worldwide,tablet,
tvhd,0.0,1.0,0.0,1.0,2019-05-10,gsc_property,worldwide,tablet,
